Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 13,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R13-AGT-00113-2021,JB NATURE FARM & RESORT,Surigao del Norte,Surigao City,"P. 7, Brgy. Sukailang, Surigao City",9301938864,,"September 29, 2025"
Region 13,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R13-AGT-00462-2023,Ampatiras Integrated Farm,Surigao del Sur,Hinatuan,"Tagasaka, Hinatuan, Surigao del Sur",9185175193,https://www.facebook.com/amparitasproducts,"April 18, 2025"
Region 13,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R13-AGT-00001-2020,"Alameda Farm, Inc.",Surigao del Sur,San Agustin,"Hamburger Hills, Gata, San Agustin, Surigao del Sur",9177209207,https://www.alamedafarmph.com/about/,"November 2, 2024"
Region 13,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R13-AGT-00254-2022,City Organic Agri-Fishery Tourism Complex,Surigao del Sur,Bislig City,"Santa Cruz, Bislig City, Surigao del Sur",9300829421,,"May 28, 2026"
Region 13,Homestay,DOT-R13-HMY-00534-2023,Park Forest Resort,Dinagat Islands,Basilisa,"Purok 8 Tag-abaca, Basilisa, Dinagat Islands",9061215349,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00524-2023,Golden Beach Resort,Dinagat Islands,Cagdianao,Purok 2 Brgy. San Jose Cagdianao Dinagat Islands,9308654063,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00565-2023,Lian Beach Resort,Dinagat Islands,Cagdianao,Purok 2 Bgry. San Jose Cagdianao Dinagat Islands,9108577478,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00474-2023,Strand Resort,Dinagat Islands,Cagdianao,"Purok 2 Brgy. San Jose, Cagdianao,Dianagat Islands",9630548828,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00520-2023,Tagbirayan Beach Resort,Dinagat Islands,Cagdianao,Purok 1 Brgy. San Jose Cagdianao Dinagat Islands,9103085216,,"October 31, 2024"
Region 13,Homestay,DOT-R13-HMY-00521-2023,OCEANFRONT HOMESTAY,Dinagat Islands,Dinagat,Poblacion,9126870475,http://www.facebook.com/oceanfront.stacy,"October 31, 2026"
Region 13,Homestay,DOT-R13-HMY-01087-2024,Sandollar Homestay,Dinagat Islands,Dinagat,"Dinagat, Dinagat Islands",9662538848,,"October 31, 2026"
Region 13,Tour Operator,DOT-R13-TOP-00958-2024,Sanddollar Travel and Tours,Dinagat Islands,Dinagat,"Dinagat, Dinagat Islands",9662538848,,"June 30, 2026"
